period,year,month,index_value,is_provisional,series_id,series_name,source,source_url,data_retrieved_at
2023-03-01,2023,3,567.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-02-01,2023,2,568.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2023-01-01,2023,1,568.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-12-01,2022,12,568.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-11-01,2022,11,567.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-10-01,2022,10,567.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-09-01,2022,9,565.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-08-01,2022,8,559.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-07-01,2022,7,553.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-06-01,2022,6,543.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-05-01,2022,5,536.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-04-01,2022,4,525.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-03-01,2022,3,517.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-02-01,2022,2,511.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2022-01-01,2022,1,503.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-12-01,2021,12,495.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-11-01,2021,11,485.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-10-01,2021,10,477.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-09-01,2021,9,471.0,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
